classGrade,stage,subject,subjectCode,topic,description,learningObjectives,month,bloomLevels
VIII,MIDDLE,Mathematics,MATH,Comparing Quantities,"Percentages advanced","Students calculate percent increase/decrease; Students solve problems on simple and compound interest; Students understand profit, loss, discount, tax",February-March,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Algebraic Expressions and Identities,"Polynomial operations","Students multiply polynomials; Students factor expressions; Students use algebraic identities; Students divide polynomials",March-April,"APPLY,ANALYZE"
VIII,MIDDLE,Mathematics,MATH,Visualizing Solid Shapes,"3D geometry","Students identify 3D shapes from 2D representations; Students understand nets of solids; Students calculate surface area and volume of solids",April-May,"APPLY,ANALYZE"
VIII,MIDDLE,English,ENG,Reading Critically,"Text analysis","Students read and analyze complex texts; Students evaluate arguments; Students identify bias and perspective",July-August,"ANALYZE,EVALUATE"
VIII,MIDDLE,English,ENG,Writing Effectively,"Extended writing","Students write research papers; Students write essays with strong arguments; Students develop critical writing skills",August-September,"APPLY,EVALUATE,CREATE"
VIII,MIDDLE,English,ENG,Language and Grammar,"Stylistic choices","Students understand grammar at advanced level; Students analyze sentence structure; Students study stylistic variations",September-October,"ANALYZE,EVALUATE"
VIII,MIDDLE,English,ENG,Literature and Drama,"Dramatic appreciation","Students read and analyze plays; Students understand dramatic conventions; Students appreciate dramatic techniques",October-November,"ANALYZE,EVALUATE"
VIII,MIDDLE,Science,SCI,Combustion and Flame,"Energy release","Students understand combustion process; Students study types of fuels; Students learn about flame; Students understand fire safety",July-August,"UNDERSTAND,APPLY"
VIII,MIDDLE,Science,SCI,Light,"Reflection and refraction","Students study laws of reflection; Students understand mirrors and lenses; Students learn properties of light; Students understand light propagation",August-September,"APPLY,ANALYZE"
VIII,MIDDLE,Science,SCI,Sound,"Wave properties","Students understand sound production; Students study sound propagation; Students learn about echo and noise; Students understand sound quality",September-October,"UNDERSTAND,APPLY,ANALYZE"
VIII,MIDDLE,Science,SCI,Electricity and Current,"Electric circuits","Students understand electric charge; Students study electric current; Students learn circuit components; Students understand power and energy",October-November,"APPLY,ANALYZE"
VIII,MIDDLE,Science,SCI,Magnetic Effects of Current,"Electromagnetism","Students understand magnetic fields; Students study electromagnets; Students learn about electromagnetic induction; Students understand motors",November-December,"APPLY,ANALYZE"
VIII,MIDDLE,Science,SCI,Matter Properties,"Hardness and solubility","Students understand material properties; Students test hardness; Students study solubility; Students understand material behavior",December-January,"APPLY,ANALYZE"
VIII,MIDDLE,Science,SCI,Pollution Control,"Environmental protection","Students understand types of pollution; Students learn pollution control methods; Students understand environmental conservation",January-February,"APPLY,ANALYZE"
VIII,MIDDLE,Science,SCI,Star and Solar System,"Astronomy basics","Students understand celestial objects; Students study planets and moons; Students learn about stars; Students understand solar system structure",February-March,"UNDERSTAND,APPLY"
VIII,MIDDLE,Social Studies,SST,How When and Where,"Historical methodology","Students understand sources of history; Students learn about historical dating; Students study archaeological evidence",July-August,"UNDERSTAND,ANALYZE"
VIII,MIDDLE,Social Studies,SST,From Trade to Territory,"Colonial expansion","Students understand trade routes; Students study colonial policies; Students learn about territorial expansion",August-September,"UNDERSTAND,ANALYZE"
VIII,MIDDLE,Social Studies,SST,Ruling the Nation,"Governance structures","Students understand Constitution; Students study government organization; Students learn about democratic systems",September-October,"UNDERSTAND,APPLY"
VIII,MIDDLE,Social Studies,SST,Geography Resources and Development,"Resource management","Students understand resource types; Students study resource extraction; Students learn about sustainable development",October-November,"UNDERSTAND,APPLY,ANALYZE"
VIII,MIDDLE,Social Studies,SST,People Culture and Religion,"Social diversity","Students understand cultural diversity; Students study religious traditions; Students learn about social practices",November-December,"UNDERSTAND,ANALYZE"
VIII,MIDDLE,Social Studies,SST,Markets and Commerce,"Economic systems","Students understand commerce and trade; Students study market systems; Students learn about economic activities",December-January,"UNDERSTAND,APPLY"
IX,SECONDARY,Mathematics,MATH,Number Systems,"Real numbers and operations","Students understand different number systems (natural, whole, integers, rationals, irrationals); Students perform operations on real numbers; Students represent real numbers on number line",July-August,"REMEMBER,UNDERSTAND,APPLY"
IX,SECONDARY,Mathematics,MATH,Polynomials,"Polynomial concepts","Students identify and classify polynomials; Students perform polynomial operations; Students factor polynomials; Students find zeros of polynomials",August-September,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Coordinate Geometry,"Plotting and graphs","Students understand Cartesian coordinate system; Students plot points and identify quadrants; Students find distances between points; Students understand equations of lines",September-October,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Linear Equations in Two Variables,"Systems of equations","Students solve linear equations in two variables; Students graph linear equations; Students solve systems of linear equations; Students apply to real-world problems",October-November,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Introduction to Euclid's Geometry,"Geometric foundations","Students understand Euclidean geometry; Students study axioms and postulates; Students prove geometric theorems; Students understand congruence and similarity",November-December,"ANALYZE,EVALUATE"
IX,SECONDARY,Mathematics,MATH,Lines and Angles,"Angle relationships","Students study angle relationships (vertical, linear pair, adjacent); Students understand parallel lines and transversals; Students apply properties to solve problems",December-January,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Triangles,"Triangle properties advanced","Students prove triangle congruency; Students understand triangle inequalities; Students study isosceles and equilateral triangles; Students apply Pythagoras theorem",January-February,"ANALYZE,EVALUATE"
IX,SECONDARY,Mathematics,MATH,Quadrilaterals,"Quadrilateral properties","Students understand properties of different quadrilaterals; Students prove theorems about quadrilaterals; Students solve problems involving angles and sides",February-March,"ANALYZE,EVALUATE"
IX,SECONDARY,Mathematics,MATH,Circles,"Circular geometry","Students understand circle terminology (radius, diameter, chord, tangent); Students study circle theorems; Students solve problems involving circles",March-April,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Heron's Formula,"Area calculations","Students derive and apply Heron's formula; Students calculate areas of triangles using Heron's formula; Students solve composite area problems",April,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Surface Area and Volume,"3D measurements","Students calculate surface areas of solids (prism, pyramid, cylinder, cone, sphere); Students calculate volumes of solids; Students solve real-world problems",April-May,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Statistics,"Data analysis","Students collect and organize data; Students calculate measures of central tendency; Students understand and calculate standard deviation; Students create and interpret graphs",May-June,"APPLY,ANALYZE"
IX,SECONDARY,Mathematics,MATH,Probability,"Probability basics","Students understand probability concepts; Students calculate probability of simple and compound events; Students apply probability in real situations",June,"APPLY,ANALYZE,EVALUATE"
IX,SECONDARY,Science,SCI,Matter in Our Surroundings,"Physical properties","Students understand matter states (solid, liquid, gas); Students learn about evaporation and condensation; Students study sublimation; Students understand pressure",July-August,"UNDERSTAND,APPLY"
IX,SECONDARY,Science,SCI,Is Matter Around Us Pure,"Purity and mixtures","Students understand pure substances vs mixtures; Students identify elements and compounds; Students separate mixtures; Students classify materials",August-September,"UNDERSTAND,APPLY"
IX,SECONDARY,Science,SCI,Atoms and Molecules,"Atomic structure","Students understand Dalton's atomic theory; Students learn atomic and molecular mass; Students study mole concept; Students understand chemical formulas",September-October,"UNDERSTAND,APPLY,ANALYZE"
IX,SECONDARY,Science,SCI,Structure of Atom,"Subatomic particles","Students understand atomic structure; Students study electron configuration; Students learn about isotopes; Students understand atomic number and mass number",October-November,"UNDERSTAND,APPLY"
IX,SECONDARY,Science,SCI,Fundamental Unit of Life,"Cell biology","Students understand cell theory; Students study cell structure and functions; Students compare prokaryotic and eukaryotic cells; Students learn about cell organelles",November-December,"UNDERSTAND,APPLY,ANALYZE"
IX,SECONDARY,Science,SCI,Tissues,"Cell organization","Students understand tissue types; Students study plant tissues (meristem, dermal, vascular, ground); Students study animal tissues (epithelial, connective, muscular, nervous); Students understand tissue functions",December-January,"UNDERSTAND,APPLY"
IX,SECONDARY,Science,SCI,Diversity in Living Organisms,"Classification","Students understand biodiversity; Students study taxonomy and classification; Students learn about different kingdoms; Students classify organisms",January-February,"UNDERSTAND,ANALYZE"
IX,SECONDARY,Science,SCI,Gravity and Motion,"Force and motion","Students understand gravity and gravitational force; Students study Newton's laws of motion; Students calculate acceleration and velocity; Students solve force problems",February-March,"APPLY,ANALYZE"
IX,SECONDARY,Science,SCI,Work Power and Energy,"Mechanical energy","Students understand work as energy transfer; Students study power and efficiency; Students understand kinetic and potential energy; Students learn conservation of energy",March-April,"APPLY,ANALYZE"
IX,SECONDARY,Science,SCI,Sound,"Acoustics","Students understand sound waves; Students study sound propagation; Students learn about frequency and wavelength; Students understand Doppler effect",April-May,"APPLY,ANALYZE"
IX,SECONDARY,Science,SCI,Why do Objects Move,"Laws of motion","Students understand Newton's first law (inertia); Students study Newton's second law (F=ma); Students learn Newton's third law (action-reaction); Students apply laws to problems",May-June,"APPLY,ANALYZE"
IX,SECONDARY,English,ENG,Reading Comprehension,"Complex texts","Students read and comprehend advanced texts; Students analyze structure and meaning; Students evaluate author's techniques; Students make critical inferences",July-August,"ANALYZE,EVALUATE"
IX,SECONDARY,English,ENG,Creative Writing,"Narrative and description","Students write detailed narratives; Students compose descriptive passages; Students create character development; Students write dialogues",August-September,"CREATE"
IX,SECONDARY,English,ENG,Grammar and Language,"Advanced syntax","Students master complex grammatical structures; Students understand sentence transformation; Students study parallelism and emphasis",September-October,"APPLY,ANALYZE"
IX,SECONDARY,English,ENG,Literature Appreciation,"Texts and context","Students read and analyze literary texts; Students understand author's purpose; Students study literary movements; Students appreciate diverse perspectives",October-November,"ANALYZE,EVALUATE"
IX,SECONDARY,Social Studies,SST,The French Revolution,"Social upheaval","Students understand causes of revolution; Students study revolutionary ideas; Students learn about social changes; Students evaluate impact on society",July-August,"UNDERSTAND,ANALYZE,EVALUATE"
IX,SECONDARY,Social Studies,SST,Socialism and Communism,"Political ideologies","Students understand socialist theory; Students study communist movements; Students learn about implementation; Students evaluate success and challenges",August-September,"UNDERSTAND,ANALYZE"
IX,SECONDARY,Social Studies,SST,Nazism and Fascism,"Authoritarian regimes","Students understand fascist and Nazi ideology; Students study rise to power; Students learn about consequences; Students evaluate historical lessons",September-October,"ANALYZE,EVALUATE"
IX,SECONDARY,Social Studies,SST,India and Contemporary World,"World events","Students understand international relations; Students study India's foreign policy; Students learn about global conflicts; Students understand India's role",October-November,"UNDERSTAND,ANALYZE"
IX,SECONDARY,Social Studies,SST,Indian Culture and Traditions,"Heritage","Students understand Indian classical arts; Students study folk traditions; Students learn about festivals; Students appreciate cultural synthesis",November-December,"UNDERSTAND,ANALYZE"
IX,SECONDARY,Social Studies,SST,Federalism and Indian Constitution,"Governance","Students understand federalism concept; Students study Indian Constitution features; Students learn about separation of powers; Students understand rights and duties",December-January,"UNDERSTAND,APPLY"
X,SECONDARY,Mathematics,MATH,Real Numbers,"Number theory","Students understand real number properties; Students perform operations on real numbers; Students understand rationals and irrationals; Students simplify surds",July-August,"REMEMBER,UNDERSTAND,APPLY"
X,SECONDARY,Mathematics,MATH,Polynomials,"Factorization and division","Students factor polynomials; Students perform polynomial division; Students use Remainder and Factor Theorems; Students find zeros of polynomials",August-September,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Pairs of Linear Equations,"System solving","Students solve pairs of linear equations by graphical and algebraic methods; Students analyze consistency of systems; Students apply to real-world situations",September-October,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Quadratic Equations,"Solving quadratics","Students solve quadratic equations using factorization, completing square, quadratic formula; Students analyze roots using discriminant; Students apply to problems",October-November,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Arithmetic Progressions,"Sequences","Students identify and understand arithmetic progressions; Students find nth term and sum of AP; Students apply AP to real situations",November-December,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Triangles and Similarity,"Advanced triangle properties","Students understand similarity of triangles; Students apply Basic Proportionality Theorem; Students use triangle properties in problems; Students understand area relationships",December-January,"ANALYZE,EVALUATE"
X,SECONDARY,Mathematics,MATH,Circles and Tangents,"Circle theorems","Students study circle theorems; Students understand tangent properties; Students solve problems involving tangents and secants; Students construct tangents",January-February,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Coordinate Geometry,"Distance and section","Students find distance between two points; Students find section formula; Students find centroid of triangle; Students find area using coordinates",February-March,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Trigonometry,"Trigonometric ratios","Students understand sine, cosine, tangent ratios; Students calculate values for standard angles; Students apply trigonometry in problems; Students understand complementary angle relationships",March-April,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Applications of Trigonometry,"Heights and distances","Students apply trigonometry to find heights and distances; Students solve angle of elevation and depression problems; Students use applications in navigation and astronomy",April-May,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Circles and Areas,"Perimeter and area","Students calculate perimeter and area of circles; Students find sector and segment areas; Students solve problems involving combinations of shapes",May,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Surface Areas and Volumes,"Solid geometry","Students calculate surface areas of solids; Students calculate volumes of solids and combinations; Students solve real-world geometry problems",May-June,"APPLY,ANALYZE"
X,SECONDARY,Mathematics,MATH,Probability,"Events and probability","Students calculate probability of simple and compound events; Students understand mutually exclusive and independent events; Students apply probability in real contexts",June,"APPLY,ANALYZE,EVALUATE"
X,SECONDARY,Science,SCI,Chemical Reactions and Equations,"Balancing and types","Students write chemical equations; Students balance equations; Students understand types of reactions (combination, decomposition, displacement, double displacement); Students calculate stoichiometry",July-August,"UNDERSTAND,APPLY"
X,SECONDARY,Science,SCI,Acids Bases and Salts,"Properties and reactions","Students understand pH scale; Students learn properties of acids and bases; Students study neutralization reactions; Students understand salt formation and properties",August-September,"UNDERSTAND,APPLY,ANALYZE"
X,SECONDARY,Science,SCI,Metals and Non-metals,"Properties and reactions","Students compare properties of metals and non-metals; Students study metal extraction; Students understand reactivity series; Students learn corrosion prevention",September-October,"UNDERSTAND,ANALYZE"
X,SECONDARY,Science,SCI,Carbon and Its Compounds,"Organic chemistry basics","Students understand properties of carbon; Students study alkanes, alkenes, alkynes; Students understand covalent bonding; Students learn about organic reactions",October-November,"UNDERSTAND,APPLY"
X,SECONDARY,Science,SCI,Periodic Classification,"Modern periodic table","Students understand periodic table organization; Students study periodic trends; Students classify elements; Students predict element properties",November-December,"UNDERSTAND,APPLY"
X,SECONDARY,Science,SCI,Life Processes,"Nutrition and transport","Students understand modes of nutrition; Students study photosynthesis in detail; Students learn human digestive system; Students understand transport in plants and animals",December-January,"UNDERSTAND,APPLY"
X,SECONDARY,Science,SCI,Control and Coordination,"Nervous and endocrine systems","Students understand human nervous system; Students study reflex actions; Students learn about hormones and endocrine glands; Students understand plant hormones",January-February,"UNDERSTAND,APPLY"
X,SECONDARY,Science,SCI,Reproduction,"Sexual and asexual reproduction","Students understand modes of reproduction; Students study human reproductive system; Students understand reproductive health; Students learn plant reproduction",February-March,"UNDERSTAND,APPLY"
X,SECONDARY,Science,SCI,Heredity and Evolution,"Genetics and natural selection","Students understand Mendel's laws; Students study inheritance patterns; Students understand DNA and genes; Students learn evolutionary concepts and evidence",March-April,"UNDERSTAND,APPLY,ANALYZE"
X,SECONDARY,Science,SCI,Light Reflection and Refraction,"Optics basics","Students study laws of reflection; Students learn mirrors and lenses; Students understand magnification; Students solve ray optics problems",April-May,"APPLY,ANALYZE"
X,SECONDARY,Science,SCI,Human Eye and Vision,"Optical phenomena","Students understand eye structure and functioning; Students learn common vision defects; Students study prism and spectrum; Students understand atmospheric refraction",May,"APPLY,ANALYZE"
X,SECONDARY,Science,SCI,Electricity and Current,"Electric circuits","Students understand electric current and potential difference; Students study Ohm's law; Students understand power and energy; Students solve circuit problems",May-June,"APPLY,ANALYZE"
X,SECONDARY,Science,SCI,Magnetic Effects of Current,"Electromagnetism","Students understand magnetic fields; Students study electromagnetic induction; Students learn AC and DC; Students understand motor and generator principles",June,"APPLY,ANALYZE"
X,SECONDARY,English,ENG,Reading and Interpretation,"Critical analysis","Students read and interpret complex texts; Students analyze meaning and structure; Students evaluate author's techniques; Students make sophisticated inferences",July-August,"ANALYZE,EVALUATE"
X,SECONDARY,English,ENG,Writing and Composition,"Extended essays","Students write persuasive essays; Students compose formal letters; Students write narrative essays; Students develop thesis and arguments",August-September,"APPLY,CREATE"
X,SECONDARY,English,ENG,Grammar and Usage,"Sentence mastery","Students master all grammatical structures; Students understand sentence transformation; Students study stylistic variations; Students use grammar for effect",September-October,"APPLY,ANALYZE"
X,SECONDARY,English,ENG,Literature and Drama,"Literary analysis","Students analyze plays and their techniques; Students understand character development; Students study thematic elements; Students appreciate dramatic conventions",October-November,"ANALYZE,EVALUATE"
X,SECONDARY,Social Studies,SST,The Rise of Nationalism,"National consciousness","Students understand nationalism concept; Students study nationalist movements in India; Students learn about cultural revival; Students evaluate social impact",July-August,"UNDERSTAND,ANALYZE"
X,SECONDARY,Social Studies,SST,Indian National Movement,"Independence struggle","Students understand origins of independence movement; Students study leaders and organizations; Students learn major events; Students evaluate strategies and outcomes",August-September,"ANALYZE,EVALUATE"
X,SECONDARY,Social Studies,SST,Print Culture and Modern World,"Information revolution","Students understand print media impact; Students study cultural changes; Students learn about communication; Students evaluate modernity",September-October,"UNDERSTAND,ANALYZE"
X,SECONDARY,Social Studies,SST,Colonialism and Colonial Societies,"Imperial expansion","Students understand colonialism; Students study colonial systems; Students learn about colonial resistance; Students evaluate economic and social impact",October-November,"ANALYZE,EVALUATE"
X,SECONDARY,Social Studies,SST,Indian Constitution and Democracy,"Governance framework","Students understand Constitution making; Students study constitutional provisions; Students learn about democratic processes; Students understand rights and duties",November-December,"UNDERSTAND,APPLY"
X,SECONDARY,Social Studies,SST,Resources and Development,"Economics","Students understand resource types and management; Students study sustainable development; Students learn about economic activities; Students evaluate environmental impact",December-January,"APPLY,ANALYZE"
XI,SECONDARY,Mathematics,MATH,Sets and Relations,"Set theory basics","Students understand set notation and operations; Students learn relations and functions; Students represent sets using Venn diagrams; Students solve set theory problems",July-August,"REMEMBER,UNDERSTAND"
XI,SECONDARY,Mathematics,MATH,Relations and Functions,"Function concepts","Students understand ordered pairs and Cartesian product; Students study domain and codomain; Students classify functions; Students study inverse functions",August-September,"UNDERSTAND,APPLY"
XI,SECONDARY,Mathematics,MATH,Trigonometric Functions,"Trigonometry advanced","Students define trigonometric functions; Students learn graphs of trigonometric functions; Students study trigonometric identities; Students solve equations",September-October,"APPLY,ANALYZE"
XI,SECONDARY,Mathematics,MATH,Sequences and Series,"Progressions","Students study arithmetic progressions; Students study geometric progressions; Students learn sum formulas; Students understand convergence",October-November,"APPLY,ANALYZE"
XI,SECONDARY,Mathematics,MATH,Combinatorics,"Permutations and combinations","Students understand fundamental counting principle; Students study permutations and combinations; Students solve selection and arrangement problems",November-December,"APPLY,ANALYZE"
XI,SECONDARY,Mathematics,MATH,Binomial Theorem,"Expansion","Students understand binomial expansion; Students apply binomial theorem; Students find specific terms in binomial expansion; Students understand Pascal's triangle",December-January,"APPLY,ANALYZE"
XI,SECONDARY,Mathematics,MATH,Limits and Continuity,"Calculus foundations","Students understand limits of functions; Students study continuity; Students calculate limits algebraically and graphically; Students understand theorems",January-February,"ANALYZE"
XI,SECONDARY,Mathematics,MATH,Derivatives,"Calculus basics","Students understand derivative as rate of change; Students calculate derivatives from first principles; Students learn differentiation rules; Students apply derivatives",February-March,"ANALYZE,EVALUATE"
XI,SECONDARY,Mathematics,MATH,Mathematical Reasoning,"Logic","Students understand mathematical statements; Students study logical connectives; Students learn implications and equivalences; Students prove statements",March-April,"EVALUATE"
XI,SECONDARY,Mathematics,MATH,Complex Numbers,"Algebra advanced","Students understand complex number system; Students perform operations on complex numbers; Students represent complex numbers geometrically; Students solve equations",April-May,"APPLY,ANALYZE"
XI,SECONDARY,Physics,PHY,Physical World,"Scope and limitations","Students understand physics scope; Students study methods of physics; Students learn about physical quantities; Students understand SI units",July-August,"REMEMBER,UNDERSTAND"
XI,SECONDARY,Physics,PHY,Motion in One Dimension,"Kinematics","Students understand displacement and velocity; Students study acceleration; Students apply kinematic equations; Students solve motion problems",August-September,"APPLY,ANALYZE"
XI,SECONDARY,Physics,PHY,Forces and Newton's Laws,"Dynamics","Students understand types of forces; Students study Newton's three laws; Students apply laws to problems; Students understand friction and tension",September-October,"APPLY,ANALYZE"
XI,SECONDARY,Physics,PHY,Work Energy and Power,"Mechanical energy","Students understand work concept; Students study kinetic and potential energy; Students learn conservation of energy; Students understand power and efficiency",October-November,"APPLY,ANALYZE"
XI,SECONDARY,Physics,PHY,Rotational Motion,"Angular kinematics","Students understand angular displacement and velocity; Students study torque and angular acceleration; Students understand moment of inertia; Students apply rotational equations",November-December,"APPLY,ANALYZE"
XI,SECONDARY,Physics,PHY,Gravitation,"Universal forces","Students understand gravitational force; Students study planetary motion; Students learn Kepler's laws; Students calculate gravitational potential",December-January,"APPLY,ANALYZE"
XI,SECONDARY,Physics,PHY,Oscillations and Waves,"Periodic motion","Students understand simple harmonic motion; Students study waves and wave properties; Students learn wave equations; Students understand interference and diffraction",January-February,"APPLY,ANALYZE"
XI,SECONDARY,Physics,PHY,Thermal Physics,"Heat and temperature","Students understand heat and temperature; Students study thermal expansion; Students learn laws of thermodynamics; Students apply heat calculations",February-March,"APPLY,ANALYZE"
XI,SECONDARY,Chemistry,CHM,Basic Concepts,"Atomic structure","Students understand atomic theory; Students study atomic structure; Students learn electron configuration; Students understand quantum numbers",July-August,"REMEMBER,UNDERSTAND"
XI,SECONDARY,Chemistry,CHM,Structure of Atom,"Subatomic particles","Students study electrons, protons, and neutrons; Students learn about isotopes and isobars; Students understand atomic mass and mass number",August-September,"UNDERSTAND,APPLY"
XI,SECONDARY,Chemistry,CHM,Classification of Elements,"Periodic table","Students understand periodic table organization; Students study periodic trends; Students learn about chemical properties; Students predict element behavior",September-October,"UNDERSTAND,APPLY"
XI,SECONDARY,Chemistry,CHM,Chemical Bonding,"Molecular structure","Students understand ionic bonding; Students study covalent bonding; Students learn coordinate bonding; Students understand metallic bonding",October-November,"UNDERSTAND,APPLY,ANALYZE"
XI,SECONDARY,Chemistry,CHM,Equilibrium,"Reversible reactions","Students understand chemical equilibrium; Students study equilibrium constants; Students learn Le Chatelier's principle; Students calculate equilibrium concentrations",November-December,"APPLY,ANALYZE"
XI,SECONDARY,Chemistry,CHM,Redox Reactions,"Oxidation and reduction","Students understand oxidation and reduction; Students study electron transfer; Students balance redox equations; Students apply oxidation numbers",December-January,"APPLY,ANALYZE"
XI,SECONDARY,Chemistry,CHM,Hydrocarbons,"Organic chemistry basics","Students understand hydrocarbon classification; Students study alkanes, alkenes, alkynes; Students learn combustion and reactions; Students understand isomerism",January-February,"UNDERSTAND,APPLY"
XI,SECONDARY,English,ENG,Poetry Analysis,"Literary interpretation","Students analyze poems in detail; Students understand poetic devices; Students study form and structure; Students appreciate artistic expression",July-August,"ANALYZE,EVALUATE"
XI,SECONDARY,English,ENG,Prose Analysis,"Narrative techniques","Students analyze prose passages; Students understand narrative structure; Students study characterization; Students evaluate author's style",August-September,"ANALYZE,EVALUATE"
XI,SECONDARY,English,ENG,Writing and Composition,"Advanced essays","Students write analytical essays; Students compose argumentative pieces; Students develop sophisticated arguments; Students support with evidence",September-October,"CREATE,EVALUATE"
XI,SECONDARY,History,HIS,Themes in Indian History,"Patterns and developments","Students understand major themes in Indian history; Students study cultural continuity and change; Students evaluate historical interpretations; Students analyze cause and effect",July-August,"ANALYZE,EVALUATE"
XI,SECONDARY,History,HIS,Early India,"Ancient period","Students study Indus Valley Civilization; Students understand Vedic period; Students learn about Maurya and Gupta empires; Students study religious developments",August-September,"UNDERSTAND,ANALYZE"
XI,SECONDARY,History,HIS,Early Medieval India,"Medieval period","Students study regional kingdoms; Students learn about Tripartite struggle; Students understand feudalism; Students analyze cultural developments",September-October,"UNDERSTAND,ANALYZE"
XI,SECONDARY,History,HIS,Late Medieval India,"Mughal era","Students study Mughal Empire; Students understand administrative systems; Students analyze cultural synthesis; Students evaluate Mughal legacy",October-November,"ANALYZE,EVALUATE"
XI,SECONDARY,Geography,GEO,India Physical Features,"Landforms","Students understand India's geography; Students study mountains, plateaus, and plains; Students learn about climate; Students understand vegetation zones",July-August,"REMEMBER,UNDERSTAND,APPLY"
XI,SECONDARY,Geography,GEO,India Climate Vegetation,"Biogeography","Students understand climate classification; Students study monsoons; Students learn about natural vegetation; Students understand soil formation",August-September,"UNDERSTAND,APPLY"
XI,SECONDARY,Geography,GEO,Population,"Demographics","Students understand population distribution; Students study population growth; Students learn about migration; Students understand demographic transitions",September-October,"ANALYZE"
XI,SECONDARY,Economics,ECO,Indian Economy,"Economic overview","Students understand economic structure; Students study sectors of economy; Students learn about economic challenges; Students understand development indicators",July-August,"UNDERSTAND,APPLY"
XI,SECONDARY,Economics,ECO,Liberalization Privatization and Globalization,"Economic reforms","Students understand economic liberalization; Students study privatization effects; Students learn about globalization impact; Students evaluate economic policies",August-September,"ANALYZE,EVALUATE"
XII,SECONDARY,Mathematics,MATH,Relations and Functions,"Advanced properties","Students study composition of functions; Students understand bijections; Students find inverses; Students apply function concepts",July-August,"ANALYZE,EVALUATE"
XII,SECONDARY,Mathematics,MATH,Inverse Trigonometric Functions,"Trigonometric inverses","Students understand inverse trigonometric functions; Students find domain and range; Students solve equations involving inverse functions",August-September,"APPLY,ANALYZE"
XII,SECONDARY,Mathematics,MATH,Matrices and Determinants,"Linear algebra","Students perform matrix operations; Students calculate determinants; Students find matrix inverses; Students apply to linear systems",September-October,"APPLY,ANALYZE"
XII,SECONDARY,Mathematics,MATH,Continuity and Differentiability,"Calculus advanced","Students study continuity and differentiability; Students understand mean value theorems; Students study derivatives of composite and implicit functions",October-November,"ANALYZE,EVALUATE"
XII,SECONDARY,Mathematics,MATH,Applications of Derivatives,"Optimization","Students find maximum and minimum values; Students study curve sketching; Students solve optimization problems; Students understand rate of change applications",November-December,"APPLY,ANALYZE"
XII,SECONDARY,Mathematics,MATH,Integration,"Antiderivatives","Students understand integration as antiderivative; Students learn integration rules; Students calculate definite and indefinite integrals; Students apply to area problems",December-January,"APPLY,ANALYZE"
XII,SECONDARY,Mathematics,MATH,Applications of Integration,"Calculus applications","Students find areas under curves; Students calculate volumes of revolution; Students solve differential equations; Students apply integration to real situations",January-February,"APPLY,ANALYZE"
XII,SECONDARY,Mathematics,MATH,Differential Equations,"ODEs","Students solve first-order differential equations; Students understand general and particular solutions; Students apply to real-world modeling",February-March,"APPLY,ANALYZE"
XII,SECONDARY,Mathematics,MATH,Vectors and 3D Geometry,"Space geometry","Students understand vector operations; Students study scalar and vector products; Students write equations of lines and planes in 3D; Students find distances and angles",March-April,"APPLY,ANALYZE"
XII,SECONDARY,Mathematics,MATH,Linear Programming,"Optimization problems","Students formulate linear programming problems; Students use graphical method; Students find optimal solutions; Students solve real-world optimization problems",April-May,"APPLY,ANALYZE,EVALUATE"
XII,SECONDARY,Mathematics,MATH,Probability Theory,"Probability advanced","Students study random variables; Students understand probability distributions; Students calculate mean and variance; Students apply to real situations",May-June,"APPLY,ANALYZE,EVALUATE"
XII,SECONDARY,Physics,PHY,Electric Charge and Field,"Electrostatics","Students understand electric charge; Students study Coulomb's law; Students learn electric field and potential; Students understand conductors and insulators",July-August,"UNDERSTAND,APPLY"
XII,SECONDARY,Physics,PHY,Electric Potential and Capacitance,"Electrical potential energy","Students understand electric potential; Students study capacitors; Students learn dielectric properties; Students calculate electrical energy",August-September,"APPLY,ANALYZE"
XII,SECONDARY,Physics,PHY,Current Electricity,"Electric circuits","Students understand electric current; Students study Ohm's law; Students learn circuit components; Students solve complex circuits",September-October,"APPLY,ANALYZE"
XII,SECONDARY,Physics,PHY,Magnetic Effects of Electric Current,"Magnetism","Students understand magnetic fields; Students study magnetic force on charges; Students learn electromagnetic induction; Students understand transformers",October-November,"APPLY,ANALYZE"
